"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP30909","C16BrNO2",318.0807,0,16,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.7866
"CMP30910","C19NO4",306.2076,0,19,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,2,56.79,3.9151
"CMP30911","C17N4S2",324.3387,0,17,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,109.1,4.9854
"CMP30912","C23ClN2O6S",467.7739,0,23,0,2,6,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,2,112.6,4.2238
"CMP30913","C18N5O",302.2255,0,18,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,3,86.94,2.52358
"CMP30914","C19N5O3",346.235,0,19,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.7139
"CMP30915","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,1.8564
"CMP30916","C13NO2S",234.2096,0,13,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,80.56,3.6015
"CMP30917","C16NO3",254.1761,0,16,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,51.47,3.7794
"CMP30918","C16Cl2NO2",309.0827,0,16,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,4.8839
"CMP30919","C15BrNO3",322.0694,0,15,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,3,47.56,3.4987
"CMP30920","C16ClF2NO2",311.6265064,0,16,0,1,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,4.7307
"CMP30921","C14N3O2S2",306.2987,0,14,0,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,129.61,3.5889
"CMP30922","C15N3OS2",302.31,0,15,0,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,111.59,3.9957
"CMP30923","C19N5O2",330.2356,0,19,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,3,92.25,2.4024
"CMP30924","C18N5O3",334.2243,0,18,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.3238
"CMP30925","C19N5O3",346.235,0,19,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,1.4663
"CMP30926","C12N3O2",218.1473,0,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,64.08,2.2936
"CMP30927","C19NO2",274.2088,0,19,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,38.33,4.0395
"CMP30928","C15N3O7",334.1764,4,15,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,2,139.2,3.599
"CMP30929","C17NO3S",298.2518,0,17,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,3,72.86,3.3558
"CMP30930","C18FNO5",329.1947032,0,18,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,66.02,3.0512
"CMP30931","C19N2O4S2",384.3443,0,19,0,2,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,5,2,125.26,3.2149
"CMP30932","C14N3O2S2",306.2987,0,14,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,120.82,2.842
"CMP30933","C17N5O2",306.2142,0,17,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,3,96.17,1.44498
"CMP30934","C22N5O3",382.2671,0,22,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,2.6366
"CMP30935","C21N5O",338.2576,0,21,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,4,86.94,2.65118
"CMP30936","C13ClF3N4O3",352.6123096,2,13,0,4,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,92.74,4.0068
"CMP30937","C20ClNO2",321.6725,0,20,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,38.33,4.6218
"CMP30938","C16ClF2NO2",311.6265064,0,16,0,1,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.9557
"CMP30939","C16BrN2O3",348.0868,0,16,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,59.59,4.1221
"CMP30940","C19FNO2",293.2072032,0,19,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,38.33,4.1786
"CMP30941","C16N3S3",330.3863,0,16,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,132.41,5.7084
"CMP30942","C17N4OS2",340.3381,0,17,0,4,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,4,129.19,4.9836
"CMP30943","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.88
"CMP30944","C23N5O2",378.2784,0,23,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,4,92.25,2.9201
"CMP30945","C18N5O2",318.2249,0,18,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,4,3,96.17,1.58748
"CMP30946","C15FO2",231.1577032,0,15,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,26.3,3.2822
"CMP30947","C20NO2",286.2195,0,20,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,38.33,3.9684
"CMP30948","C23NO2",322.2516,0,23,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,38.33,4.5424
"CMP30949","C15BrClN2O",339.5303,0,15,0,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,41.13,4.9306
"CMP30950","C16N3O7",346.1871,4,16,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,139.2,3.7577
"CMP30951","C16N4S2",312.328,0,16,0,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,119.96,4.975
"CMP30952","C22N2O4S2",420.3764,0,22,0,2,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,2,116.47,3.7224
"CMP30953","C22N5O4",398.2665,0,22,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,4,3,110.71,1.873
"CMP30954","C22N5O2",366.2677,0,22,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,4,92.25,2.53
"CMP30955","C21N5O3",370.2564,0,21,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,2.0225
"CMP30956","C15FNO2",245.1644032,0,15,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.0885
"CMP30957","C18ClNO5",345.6493,0,18,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,66.02,3.5655
"CMP30958","C16ClF2NO3",327.6259064,0,16,0,1,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,47.56,3.8265
"CMP30959","C15BrN2O3",336.0761,0,15,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,2,59.59,3.9634
"CMP30960","C17BrNOS",346.157,0,17,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,54.4,5.0108
"CMP30961","C23N5O4",410.2772,0,23,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,5,3,110.71,2.0155
"CMP30962","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,1.9381
"CMP30963","C21N5O4",386.2558,0,21,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,4,4,114.62,2.0269
"CMP30964","C18N5O2",318.2249,0,18,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,3,92.25,1.8634
"CMP30965","C19N5O3",346.235,0,19,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.5716
"CMP30966","C18ClNO4",329.6499,0,18,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,56.79,3.7292
"CMP30967","C18NO2",262.1981,0,18,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.3776
"CMP30968","C17BrN2O",328.0987,0,17,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,41.99,4.2515
"CMP30969","C14BrN2O",292.0666,0,14,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,41.99,3.4884
"CMP30970","C13BrN2O",280.0559,0,13,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,41.99,3.4778
"CMP30971","C23N5O3",394.2778,0,23,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,5,3,101.48,2.7791
"CMP30972","C17N5O2",306.2142,0,17,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,3,92.25,1.779
"CMP30973","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,4,105.39,2.5523
