"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1020","C11INO3",321.02707,0,11,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,51.05,2.1199
"CMP1021","C20Cl2N2O5S",451.1954,2,20,2,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,117.73,5.6112
"CMP1022","C22BrN3O2",418.1583,0,22,0,3,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,4,2,54.34,4.3966
"CMP1023","C23ClNO6S",453.7672,0,23,1,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,3,2,118.44,4.6233
"CMP1024","C17ClNO3S",333.7048,0,17,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,4.1247
"CMP1025","C21BrNO2S2",442.2642,0,21,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,86.93,4.8429
"CMP1026","C15INO5S",433.13367,0,15,0,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,1,109.21,2.362
"CMP1027","C19NO4S",338.2726,0,19,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,1,81.14,3.4644
"CMP1028","C15BrNO4S",370.1338,0,15,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,81.14,3.0737
"CMP1029","C24N2O5",396.2672,0,24,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,77.43,3.1906
"CMP1030","C16INO4S",429.14497,0,16,0,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,81.14,3.3059
"CMP1031","C20Cl2N2O4",403.131,0,20,2,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,75.71,4.0656
"CMP1032","C19N3O4S",366.286,2,19,0,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,113.43,4.1329
"CMP1033","C17ClN2O5S",379.7103,2,17,1,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,121.64,4.6388
"CMP1034","C14N2O4",260.1608,0,14,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,76.66,1.5451
"CMP1035","C13NO3S",250.209,0,13,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,82.91,1.9996
"CMP1036","C15N2O6S",336.2353,2,15,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,126.96,2.7426
"CMP1037","C20N2O3S",348.2906,0,20,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,2,76.84,3.7101
"CMP1038","C23N2O2S",368.3233,0,23,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,2,67.61,4.8547
"CMP1039","C20NO3S",334.2839,0,20,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,71.91,3.4592
"CMP1040","C20N3O6",378.2305,2,20,0,3,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,121.53,3.1902
"CMP1041","C25ClNO4S",445.7898,0,25,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,2,81.14,5.6882
"CMP1042","C14ClNO3S",297.6727,0,14,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,2.956
"CMP1043","C22FNO4S",393.3031032,0,22,0,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.4108
"CMP1044","C17INO6S",473.15447,0,17,0,1,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,1,118.44,2.7607
"CMP1045","C14NO3",230.1547,0,14,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,55.4,1.6487
"CMP1046","C21BrClN2O4",459.5927,0,21,1,2,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,3,2,67.87,4.4827
