"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP2299","C36HN9O9S",735.51304,2,36,0,9,9,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,5,5,239.33,5.9652
"CMP2300","C50N9O13S",966.6525,2,50,0,9,13,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,8,5,325.71,8.14
"CMP2301","C23H4N6O11",540.31146,2,23,0,6,11,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,4,3,251.38,0.0312
"CMP2302","C35N8O11",708.4215,2,35,0,8,11,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,0,0,5,5,250.08,4.2317
"CMP2303","C17N3O6",342.1984,2,17,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,2,130.52,2.9003
"CMP2304","C33HN9O9S2",731.54594,2,33,0,9,9,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,5,5,277.22,5.8695
"CMP2305","C41Cl2N7O7",773.3874,0,41,2,7,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,7,6,172.88,7.3332
"CMP2306","C39HCl2N7O7S",782.43894,0,39,2,7,7,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,7,5,181.26,8.6023
"CMP2307","C41Cl2N8O7",787.3941,0,41,2,8,7,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,0,6,5,176.12,7.0262
"CMP2308","C39HCl2N8O6S",780.44624,0,39,2,8,6,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,6,5,171.36,7.9221
"CMP2309","C53Cl2N8O10S",1011.5857,0,53,2,8,10,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,2,0,0,9,5,257.74,10.0969
"CMP2310","C26H4Cl2N5O8",585.24466,0,26,2,5,8,0,4,0,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,5,3,183.41,1.9881
"CMP2311","C38Cl2N7O8",753.3547,0,38,2,7,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,6,5,182.11,6.1886
"CMP2312","C20Cl2N2O3",387.1316,0,20,2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,62.55,4.7436
"CMP2313","C36HCl2N8O6S2",776.47914,0,36,2,8,6,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,6,5,209.25,7.8264
"CMP2314","C44ClN8O8",803.9726,0,44,1,8,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,7,6,199.02,7.2239
"CMP2315","C42HClN8O8S",813.02414,0,42,1,8,8,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,7,5,207.4,8.493
"CMP2316","C44ClN9O8",817.9793,0,44,1,9,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,2,0,0,6,5,202.26,6.9169
"CMP2317","C42HClN9O7S",811.03144,0,42,1,9,7,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,6,5,197.5,7.8128
"CMP2318","C56ClN9O11S",1042.1709,0,56,1,9,11,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,3,0,0,9,5,283.88,9.9876
"CMP2319","C29H4ClN6O9",615.82986,0,29,1,6,9,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,5,3,209.55,1.8788
"CMP2320","C41ClN8O9",783.9399,0,41,1,8,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,3,0,0,6,5,208.25,6.0793
"CMP2321","C23ClN3O4",417.7168,0,23,1,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,3,2,88.69,4.7479
"CMP2322","C39HClN9O7S2",807.06434,0,39,1,9,7,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,6,5,235.39,7.7171
"CMP2323","C38Cl2N9O6",749.3693,0,38,2,9,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,7,6,207.28,6.43138
"CMP2324","C36HCl2N9O6S",758.42084,0,36,2,9,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,7,5,215.66,7.70048
"CMP2325","C38Cl2N10O6",763.376,0,38,2,10,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,6,5,210.52,6.12438
"CMP2326","C36HCl2N10O5S",756.42814,0,36,2,10,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,6,5,205.76,7.02028
"CMP2327","C50Cl2N10O9S",987.5676,0,50,2,10,9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,1,9,5,292.14,9.19508
"CMP2328","C23H4Cl2N7O7",561.22656,0,23,2,7,7,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,5,3,217.81,1.08628
"CMP2329","C35Cl2N9O7",729.3366,0,35,2,9,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,1,6,5,216.51,5.28678
"CMP2330","C17Cl2N4O2",363.1135,0,17,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,96.95,3.95538
"CMP2331","C33HCl2N10O5S2",752.46104,0,33,2,10,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,6,5,243.65,6.92458
"CMP2332","C45N7O7",750.5242,0,45,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,1,8,6,187.83,7.25488
"CMP2333","C43HN7O7S",759.57574,0,43,0,7,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,8,5,196.21,8.52398
"CMP2334","C45N8O7",764.5309,0,45,0,8,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,1,7,5,191.07,6.94788
"CMP2335","C43HN8O6S",757.58304,0,43,0,8,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,7,5,186.31,7.84378
"CMP2336","C57N8O10S",988.7225,0,57,0,8,10,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,1,10,5,272.69,10.0186
"CMP2337","C30H4N5O8",562.38146,0,30,0,5,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,6,3,198.36,1.90978
"CMP2338","C42N7O8",730.4915,0,42,0,7,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,1,7,5,197.06,6.11028
"CMP2339","C24N2O3",364.2684,0,24,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,2,77.5,4.77888
"CMP2340","C40HN8O6S2",753.61594,0,40,0,8,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,7,5,224.2,7.74808
"CMP2341","C32N5O7",566.3717,0,32,0,5,7,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,5,5,145.86,3.9957
"CMP2342","C30HN5O7S",575.42324,0,30,0,5,7,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,5,4,154.24,5.2648
"CMP2343","C32N6O7",580.3784,0,32,0,6,7,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,2,0,0,4,4,149.1,3.6887
"CMP2344","C30HN6O6S",573.43054,0,30,0,6,6,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,4,4,144.34,4.5846
"CMP2345","C44N6O10S",804.57,0,44,0,6,10,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,7,4,230.72,6.7594
"CMP2346","C17H4N3O8",378.22896,0,17,0,3,8,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,3,2,156.39,-1.3494
"CMP2347","C29N5O8",546.339,0,29,0,5,8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,0,0,4,4,155.09,2.8511
"CMP2348","C11O3",180.1159,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,35.53,1.5197
"CMP2349","C27HN6O6S2",569.46344,0,27,0,6,6,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,4,4,182.23,4.4889
"CMP2350","C33N8O7",620.4025,0,33,0,8,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,2,0,5,5,176.69,2.3836
"CMP2351","C31HN8O7S",629.45404,0,31,0,8,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,5,4,185.07,3.6527
"CMP2352","C33N9O7",634.4092,0,33,0,9,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,2,0,4,4,179.93,2.0766
"CMP2353","C31HN9O6S",627.46134,0,31,0,9,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,4,4,175.17,2.9725
"CMP2354","C45N9O10S",858.6008,0,45,0,9,10,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,2,0,7,4,261.55,5.1473
"CMP2355","C18H4N6O8",432.25976,0,18,0,6,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,3,2,187.22,-2.9615
"CMP2356","C30N8O8",600.3698,0,30,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,0,4,4,185.92,1.239
"CMP2357","C12N3O3",234.1467,0,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,66.36,-0.0924
"CMP2358","C28HN9O6S2",623.49424,0,28,0,9,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,4,4,213.06,2.8768
