"","MF","MW","Ncharges","C","N","O","S","Cl","F","Br","H","I","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP19","C26N2O4",404.2892,0,26,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,3,80.15,3.8744
"CMP20","C15N2O2S",272.2377,0,15,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,79.46,3.0972
"CMP21","C12IO",287.03227,0,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,0,20.23,2.9596
"CMP22","C12IO",287.03227,0,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,0,20.23,2.8155
"CMP23","C19ClN3O2",337.6752,0,19,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,61.77,2.8387
"CMP24","C18N4O4",336.217,2,18,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,107.59,2.6878
"CMP25","C19BrCl2N3O3",469.0316,0,19,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71,4.0909
"CMP26","C14O2",200.1486,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,26.3,2.6643
"CMP27","C17NO",234.188,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,29.1,3.3928
"CMP28","C16N5O2",294.2035,0,16,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,90.45,1.2879
"CMP29","C16N2O4",284.1822,0,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,69.15,1.6927
"CMP30","C19ClN3O3",353.6746,0,19,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71,2.675
"CMP31","C19BrClN3O3",433.5786,0,19,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71,3.4375
"CMP32","C18Cl2N3O2",361.1175,0,18,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,61.77,3.5632
"CMP33","C18FN3O2",309.2099032,0,18,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,61.77,2.3955
"CMP34","C20Cl2N2O4",403.131,0,20,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,69.15,4.3225
"CMP35","C20BrN2O3",396.1296,0,20,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,2,71.35,4.08838
"CMP36","C25N4O",372.2937,0,25,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,3,52.27,3.53318
