"CMP","MF","MW","Ncharges","C","H","N","O","S","Br","K","Cl","Zn","P","Na","I","F","Ca","Se","Cu","As","Cd","Hg","Pt","Co","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP","Active","Index"
"CMP1852","C24N8O4",464.308,0,24,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,1,145.4,0.112,0,1852
"CMP1853","C23O3",324.2443,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,46.53,5.35,0,1853
"CMP1854","C23FO6",391.2409032,0,23,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,100.9,2.444,0,1854
"CMP1855","C20ClNO2",321.6725,0,20,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,29.54,5.037,0,1855
"CMP1856","C24FO6",403.2516032,0,24,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,5,0,93.06,2.498,0,1856
"CMP1857","C24HFO6",404.2595432,0,24,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,100.9,2.466,0,1857
"CMP1858","C14O4",232.1474,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,2,66.76,2.337,0,1858
"CMP1859","C16BrNO3",334.0801,0,16,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,49.77,2.784,0,1859
"CMP1860","C16ClN3O3S",349.7075,0,16,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,100.8,4.32,0,1860
"CMP1861","C19Cl2N3NaO5S",476.18116928,2,19,0,3,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,2,140.8,2.196,0,1861
"CMP1862","C19ClNO",293.6624,0,19,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,12.47,4.626,0,1862
"CMP1863","C43NO16",786.4572,0,43,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,5,0,0,2,0,226.2,2.679,0,1863
"CMP1864","C19ClN2S",323.7347,0,19,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,31.78,5.886,0,1864
"CMP1865","C18HBrNO",327.11064,0,18,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,12.47,4.279,0,1865
"CMP1866","C14N4NaO2S",311.23016928,2,14,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,94.32,4.268,0,1866
"CMP1867","C22ClNO7",425.6909,0,22,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,5,3,75.69,3.621,0,1867
"CMP1868","C22ClN2O9",471.6964,0,22,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,4,1,201.8,0.258,0,1868
"CMP1869","C12O2",176.1272,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,40.46,3.22,0,1869
"CMP1870","C19ClN2",291.6697,0,19,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6.48,4.742,0,1870
"CMP1871","C21N3O5P",405.215562,0,21,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,146.7,3.133,0,1871
"CMP1872","C24ClN5O3",441.7415,0,24,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,4,85.15,2.967,0,1872
"CMP1873","C8ClNO2",177.5441,0,8,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,66.48,2.101,0,1873
"CMP1874","C8N2S",156.164,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71,1.978,0,1874
"CMP1875","C17ClNO3",301.6398,0,17,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,49.77,3.264,0,1875
"CMP1876","C21NO6",362.2278,0,21,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,5,2,66.46,2.811,0,1876
